"","dag","measurement","combining","analysis","qualFn","caliper","key","truth","mean","bias","var","mse","lb","ub","bias_lb","bias_ub","percBias","propNA","propSimFail","mean_n","sd_n","min_n","max_n"
"11","dag_bird","measM","probMatch","V","matchQualityFn_noConf",0.1,"dag_bird_measM_probMatch_V_matchQualityFn_noConf_1e-01",0.3002,0.224546198825863,-0.0756538011741367,0.00153745032809193,0.00726094796018773,0.168917359575506,0.267506886603751,-0.131282640424494,-0.0326931133962493,-25.2011329693993,0,0,1000,0,1000,1000
"12","dag_bird","measM","probMatch","V","matchQualityFn_noConf",0.01,"dag_bird_measM_probMatch_V_matchQualityFn_noConf_1e-02",0.3002,0.22437701749363,-0.0758229825063702,0.00153404064857915,0.00728316532474047,0.168917359575506,0.267506886603751,-0.131282640424494,-0.0326931133962493,-25.2574891760061,0,0,999.8,0.447213595499958,999,1000
"13","dag_bird","measM","probMatch","V","matchQualityFn_noConf",0.001,"dag_bird_measM_probMatch_V_matchQualityFn_noConf_1e-03",0.3002,0.224171225385186,-0.0760287746148139,0.00136036666869773,0.00714074123812789,0.173380860427716,0.267071006156918,-0.126819139572284,-0.0331289938430819,-25.326040844375,0,0,999,1,998,1000
"14","dag_bird","measM","probMatch","V","matchQualityFn_noConf",1e-04,"dag_bird_measM_probMatch_V_matchQualityFn_noConf_1e-04",0.3002,0.222670861810843,-0.077529138189157,0.00126559051953361,0.00727635778788702,0.173374217960977,0.263609128452041,-0.126825782039023,-0.036590871547959,-25.8258288438231,0,0,997.8,1.30384048104053,996,999
"15","dag_bird","measM","probMatch","V","matchQualityFn_noConf",1e-05,"dag_bird_measM_probMatch_V_matchQualityFn_noConf_1e-05",0.3002,0.22040405331575,-0.0797959466842496,0.000937979760398191,0.0073053728676338,0.180703118763102,0.258862009691059,-0.119496881236898,-0.0413379903089414,-26.5809282758993,0,0,987.8,4.96990945591567,981,994
"16","dag_bird_ixn","measM","probMatch","V","matchQualityFn_noConf",0.1,"dag_bird_ixn_measM_probMatch_V_matchQualityFn_noConf_1e-01",0.299084037988177,0.213547516159632,-0.0855365218285444,0.00674302016664662,0.0140595167331717,0.0942005687379699,0.286643849620644,-0.204883469250207,-0.0124401883675327,-28.5994941100554,0,0,1000,0,1000,1000
"17","dag_bird_ixn","measM","probMatch","V","matchQualityFn_noConf",0.01,"dag_bird_ixn_measM_probMatch_V_matchQualityFn_noConf_1e-02",0.299084037988177,0.213547516159632,-0.0855365218285444,0.00674302016664662,0.0140595167331717,0.0942005687379699,0.286643849620644,-0.204883469250207,-0.0124401883675327,-28.5994941100554,0,0,1000,0,1000,1000
"18","dag_bird_ixn","measM","probMatch","V","matchQualityFn_noConf",0.001,"dag_bird_ixn_measM_probMatch_V_matchQualityFn_noConf_1e-03",0.299084037988177,0.212732977704646,-0.0863510602835311,0.00671698782372923,0.0141734934358193,0.0941362184398352,0.286643849620644,-0.204947819548341,-0.0124401883675327,-28.8718384519553,0,0,999.6,0.547722557505166,999,1000
"19","dag_bird_ixn","measM","probMatch","V","matchQualityFn_noConf",1e-04,"dag_bird_ixn_measM_probMatch_V_matchQualityFn_noConf_1e-04",0.299084037988177,0.207561814551672,-0.0915222234365044,0.00647341717555253,0.014849734558314,0.0916017227682221,0.279860167892575,-0.207482315219955,-0.0192238700956016,-30.6008384974802,0,0,996.2,2.16794833886788,993,999
"20","dag_bird_ixn","measM","probMatch","V","matchQualityFn_noConf",1e-05,"dag_bird_ixn_measM_probMatch_V_matchQualityFn_noConf_1e-05",0.299084037988177,0.193739740803506,-0.10534429718467,0.00573350731764934,0.0168309282669815,0.082464966995143,0.260814130484003,-0.216619070993034,-0.0382699075041736,-35.2223067112778,0,0,985.6,3.57770876399966,983,990
